Curr_Code, USDXUNIT
ZWL,322.000001
GHS,5.77039
TWD,30.265038
IDR,16385.932
MUR,39.666821
NGN,367.000344
ILS,3.63657
ETB,33.050392
KMF,455.503796
BMD,1
PGK,3.417504
KYD,0.833445
KHR,4075.000351
JMD,134.185204
SAR,3.76132
AUD,1.667223
GIP,0.815411
CHF,0.97718
MVR,15.403741
SVC,8.751047
XCD,2.70255
IMP,0.815411
XOF,607.000332
EUR,0.925498
TOP,2.357704
LVL,0.60489
SCR,13.89231
NOK,10.60124
RWF,937.5
ALL,116.375041
UZS,9550.000335
BTC,0.000149
SYP,514.450914
BTN,75.80809
ISK,143.903816
DZD,126.620393
AZN,1.70397
MKD,57.177723
FJD,2.29875
GBP,0.814996
CRC,576.41007
VUV,123.670201
BZD,2.015954
PAB,1.000097
DKK,6.90939
IQD,1190.5
ERN,15.000358
SZL,18.99037
LBP,1514.000349
TZS,2314.303635
XPF,110.950364
MMK,1405.156204
LYD,1.410381
GEL,3.160391
HKD,7.752304
BSD,1.000107
KPW,900
ZMK,9001.203593
SHP,0.815411
JEP,0.815411
XAU,0.000617
BBD,2.019287
IRR,42105.000352
DJF,177.720394
HRK,7.058584
VEF,9.987504
THB,33.02037
XAG,0.069363
XAF,607.37603
LAK,8955.000349
ARS,64.934012
RUB,76.405038
CZK,25.764604
BRL,5.346768
PYG,6547.250904
PHP,50.744104
SLL,9740.000339
RON,4.471038
QAR,3.64075
COP,4023
TMT,3.51
EGP,15.755668
ZMW,18.60711
LKR,190.52116
LTL,2.95274
BAM,1.810979
GGP,0.815411
AOA,541.479041
TND,2.904504
PKR,166.530375
HUF,338.58704
BIF,1900
MYR,4.358039
LSL,18.990382
XDR,0.732325
UAH,27.423066
SEK,10.192904
TTD,6.757408
AWG,1.8
CUP,26.5
SRD,7.458038
KRW,1236.805039
GMD,50.95039
CLF,0.031367
CUC,1
NZD,1.697908
GTQ,7.710812
TRY,6.731504
MRO,357.000307
CLP,865.503912
FKP,0.815411
LRD,198.150382
UYU,44.020259
KZT,444.67284
HTG,95.81614
CDF,1710.000362
BHD,0.37714
MGA,3750.000347
RSD,108.780373
USD,1
MAD,10.270381
SBD,8.297008
OMR,0.38496
JPY,108.42904
TJS,10.21616
KES,106.04349
YER,250.303597
MZN,66.820377
MDL,18.62711
NAD,18.995039
HNL,24.950389
BGN,1.80841
AED,3.673042
GNF,9415.000355
PEN,3.458039
CAD,1.42035
MWK,737.503739
CVE,102.460394
BOB,6.895744
KWD,0.311039
BWP,12.263874
GYD,209.049204
AMD,502.970403
MNT,2784.3908
JOD,0.710385
UGX,3777.459804
SOS,585.000338
SGD,1.439804
DOP,54.203886
STD,22052.77227
AFN,76.150404
BYR,19600
CNY,7.092304
BYN,2.585129
ZAR,19.04598
BND,1.435946
NIO,34.150377
VND,23632.5
ANG,1.79021
KGS,84.871304
INR,76.41904
MOP,7.986963
WST,2.84739
MXN,24.992955
SDG,55.303678
BDT,84.88942
NPR,121.29335
PLN,4.24559
